distname,year,land_area,pop_urban_lin_proj,pop_total_lin_proj,pop_urban_census,pop_total_census,
Faridpur,2022,2052.87,532228.2964,2222432.119,532228.2964,2222432.119,
Feni,2022,990.36,505089.2642,1694680.537,505089.2642,1694680.537,
Gaibandha,2022,2114.77,408932.3494,2626287.884,408932.3494,2626287.884,
Gazipur,2022,1806.37,3492078.86,5419914.028,3492078.86,5419914.028,
Gopalganj,2022,1468.74,267627.3811,1330551.441,267627.3811,1330551.441,
Habiganj,2022,2636.59,366153.8225,2422213.89,366153.8225,2422213.89,
Jamalpur,2022,2115.16,671552.1174,2568577.312,671552.1174,2568577.312,
Jessore,2022,2606.94,741885.9446,3157290.346,741885.9446,3157290.346,
Jhalokati,2022,706.77,190148.822,679513.8081,190148.822,679513.8081,
Jhenaidah,2022,1964.77,436890.4899,2060700.745,436890.4899,2060700.745,
Joypurhat,2022,1012.42,231503.9803,982706.0215,231503.9803,982706.0215,
Khagrachhari,2022,2749.16,307810.1713,734619.368,307810.1713,734619.368,
Khulna,2022,4394.45,1101281.349,2687838.473,1101281.349,2687838.473,
Kishoreganj,2022,2688.59,924791.907,3358125.096,924791.907,3358125.096,
Kurigram,2022,2245.04,522480.5973,2392293.48,522480.5973,2392293.48,
Kushtia,2022,1608.8,471868.3785,2208643.746,471868.3785,2208643.746,
Lakshmipur,2022,1440.4,498239.9485,1991648.853,498239.9485,1991648.853,
Lalmonirhat,2022,1247.37,301099.2673,1467140.536,301099.2673,1467140.536,
Madaripur,2022,1125.69,325621.9042,1328634.548,325621.9042,1328634.548,
Magura,2022,1039.1,201617.3717,1061305.407,201617.3717,1061305.407,
Manikganj,2022,1383.66,237746.97,1600068.033,237746.97,1600068.033,
Maulvibazar,2022,2799.38,306877.4413,2180213.076,306877.4413,2180213.076,
Meherpur,2022,751.63,164101.59,724743.5632,164101.59,724743.5632,
Munshiganj,2022,1004.29,303585.5141,1669273.355,303585.5141,1669273.355,
Mymensingh,2022,4394.57,1395107.801,6059590.98,1395107.801,6059590.98,
Naogaon,2022,3435.65,429947.1781,2858914.125,429947.1781,2858914.125,
Narail,2022,967.99,180332.9499,810028.2562,180332.9499,810028.2562,
Narayanganj,2022,684.37,1636127.073,4021289.986,1636127.073,4021289.986,
Narsingdi,2022,1150.14,665005.4482,2655540.065,665005.4482,2655540.065,
Natore,2022,1900.19,368266.151,1910475.385,368266.151,1910475.385,
Nawabganj,2022,1702.55,482636.606,1886460.062,482636.606,1886460.062,
Netrakona,2022,2794.29,371322.5717,2386361.507,371322.5717,2386361.507,
Nilphamari,2022,1546.6,547923.569,2150454.676,547923.569,2150454.676,
Noakhali,2022,3685.87,673940.2365,3723541.638,673940.2365,3723541.638,
Pabna,2022,2376.13,661585.4385,2989566.478,661585.4385,2989566.478,
Panchagarh,2022,1404.62,196060.2432,1211809.386,196060.2432,1211809.386,
Patuakhali,2022,3221.31,332124.1576,1774100.673,332124.1576,1774100.673,
Pirojpur,2022,1277.8,247130.0471,1230833.739,247130.0471,1230833.739,
Rajbari,2022,1092.28,185661.8023,1221817.87,185661.8023,1221817.87,
Rajshahi,2022,2425.37,1130828.125,2997227.027,1130828.125,2997227.027,
Rangamati,2022,6116.1,318045.4103,666262.2395,318045.4103,666262.2395,
Rangpur,2022,2400.56,1065344.907,3258739.98,1065344.907,3258739.98,
Satkhira,2022,3817.29,446064.9164,2256252.677,446064.9164,2256252.677,
Shariatpur,2022,1174.06,319491.5032,1330057.592,319491.5032,1330057.592,
Sherpur,2022,1364.67,382167.2356,1543162.954,382167.2356,1543162.954,
Sirajganj,2022,2402.06,702267.1307,3449059.6,702267.1307,3449059.6,
Sunamganj,2022,3747.17,415200.1292,2767495.65,415200.1292,2767495.65,
Sylhet,2022,3452.07,1044882.692,3961175.677,1044882.692,3961175.677,
Tangail,2022,3414.34,942464.1952,4148044.613,942464.1952,4148044.613,
Thakurgaon,2022,1781.74,294235.4906,1575293.133,294235.4906,1575293.133,
